clip_ID,video_ID,start_sec,end_sec,duration,exercise_name,start_time,end_time,total_time
0,0,41,347,306,warmup,00:00:41,00:05:47,00:05:06
1,0,388,430,42,squat,00:06:28,00:07:10,00:00:42
2,0,570,610,40,balance lunges,00:09:30,00:10:10,00:00:40
3,0,748,789,41,chest press,00:12:28,00:13:09,00:00:41
4,0,928,968,40,overhead back extensions,00:15:28,00:16:08,00:00:40
5,0,1109,1150,41,mid row,00:18:29,00:19:10,00:00:41
6,0,1334,1374,40,kneeling roll out,00:22:14,00:22:54,00:00:40
7,0,1514,1555,41,biceps curl,00:25:14,00:25:55,00:00:41
8,0,1695,1735,40,hamstring curl,00:28:15,00:28:55,00:00:40
9,0,1874,1915,41,crunch,00:31:14,00:31:55,00:00:41
10,0,2053,2095,42,standing hip drop,00:34:13,00:34:55,00:00:42
11,1,47,344,297,warmup,00:00:47,00:05:44,00:04:57
12,1,390,430,40,chest press,00:06:30,00:07:10,00:00:40
13,1,569,612,43,chest fly,00:09:29,00:10:12,00:00:43
14,1,749,790,41,low row,00:12:29,00:13:10,00:00:41
15,1,930,970,40,t-fly,00:15:30,00:16:10,00:00:40
16,1,1169,1210,41,split fly,00:19:29,00:20:10,00:00:41
17,1,1334,1375,41,triceps press,00:22:14,00:22:55,00:00:41
18,1,1633,1677,44,w-fly,00:27:13,00:27:57,00:00:44
19,1,1696,1736,40,biceps curl,00:28:16,00:28:56,00:00:40
20,1,1996,2037,41,face row,00:33:16,00:33:57,00:00:41
21,1,2115,2156,41,biceps clutch,00:35:15,00:35:56,00:00:41
22,2,46,345,299,warmup,00:00:46,00:05:45,00:04:59
23,2,390,429,39,squat,00:06:30,00:07:09,00:00:39
24,2,568,609,41,assisted lunge,00:09:28,00:10:09,00:00:41
25,2,749,791,42,side lunge,00:12:29,00:13:11,00:00:42
26,2,930,970,40,hamstring curl,00:15:30,00:16:10,00:00:40
27,2,1110,1150,40,hip press,00:18:30,00:19:10,00:00:40
28,2,1335,1376,41,overhead back extensions,00:22:15,00:22:56,00:00:41
29,2,1515,1555,40,torso rotation,00:25:15,00:25:55,00:00:40
30,2,1754,1794,40,kneeling roll out,00:29:14,00:29:54,00:00:40
31,2,1875,1915,40,assisted sit up,00:31:15,00:31:55,00:00:40
